feedback_id,feedback_datetime,customer_id,feedback_text,digital_channel,page_or_feature,session_id,technical_information,device_information,digital_topic
ADF-2025-00089,2025-02-27 06:42:42,C10272,I had a problem using card controls.,Online Banking,Card Management,,Authentication error displayed,iPhone,Card Controls
ADF-2026-00090,2026-03-10 05:13:40,C10492,I am having trouble with a transfer.,Mobile Banking,General,SES-420436,,Android Tablet,Transfers
ADF-2025-00091,2025-10-28 08:24:18,C10376,It is difficult to find what I need.,Online Banking,Login,SES-166385,Timeout observed,Android Phone,Navigation / Usability
ADF-2025-00092,2025-01-16 11:54:42,C10212,It is difficult to find what I need.,Mobile Banking,Transfers,,Authentication error displayed,Desktop Browser,Navigation / Usability
ADF-2026-00093,2026-05-29 05:35:20,C10110,The digital banking experience is slow or unstable.,Mobile Banking,Settings,SES-234867,Authentication error displayed,Android Phone,Application Performance
ADF-2026-00094,2026-05-17 04:25:58,C10481,Feedback about my digital banking experience.,Mobile Banking,,SES-530715,Authentication error displayed,Android Tablet,General Feedback
ADF-2026-00095,2026-06-01 23:25:05,C10038,Mobile deposit is not working the way I expect.,Online Banking,General,,Submission included diagnostic context,Android Tablet,Mobile Deposit
ADF-2025-00096,2025-12-07 04:41:29,C10217,The digital banking experience is slow or unstable.,Online Banking,Transfers,SES-147032,,Android Phone,Application Performance
ADF-2026-00097,2026-08-24 11:00:09,C10085,I had a problem using card controls.,Online Banking,Card Management,,Submission included diagnostic context,Android Phone,Card Controls
ADF-2026-00098,2026-04-22 17:23:12,C10059,I am having trouble with a transfer.,Online Banking,General,SES-186155,,Desktop Browser,Transfers
ADF-2026-00099,2026-05-10 23:39:58,C10585,I had a problem using card controls.,Online Banking,Settings,,,Android Tablet,Card Controls
ADF-2025-00100,2025-07-10 03:22:31,C10500,Feedback about my digital banking experience.,Mobile Banking,Bill Pay,SES-142045,Slow response reported,iPhone,General Feedback
ADF-2026-00101,2026-01-15 04:15:51,C10588,I am having trouble with a transfer.,Online Banking,General,,No technical error captured,iPad,Transfers
ADF-2025-00102,2025-10-01 22:02:37,C10354,Bill pay is not working correctly for me.,Mobile Banking,,SES-964299,,iPhone,Bill Pay
ADF-2025-00103,2025-07-05 15:11:03,C10588,Bill pay is not working correctly for me.,Online Banking,Settings,,,,Bill Pay
ADF-2026-00104,2026-06-17 09:30:04,C10556,Bill pay is not working correctly for me.,Online Banking,Login,,Slow response reported,Android Tablet,Bill Pay
ADF-2026-00105,2026-03-31 18:50:49,C10437,I would like a change to this digital banking feature.,Online Banking,Accounts Overview,,,Android Tablet,Feature Request
ADF-2025-00106,2025-03-20 17:20:07,C10071,The digital banking experience is slow or unstable.,Online Banking,Mobile Deposit,SES-513814,,Android Tablet,Application Performance
ADF-2025-00107,2025-05-18 05:28:36,C10434,Bill pay is not working correctly for me.,Online Banking,Card Management,,Authentication error displayed,Android Tablet,Bill Pay
ADF-2025-00108,2025-10-09 22:42:55,C10073,The digital banking experience is slow or unstable.,Online Banking,Accounts Overview,,Timeout observed,iPad,Application Performance
ADF-2025-00109,2025-06-13 15:28:45,C10193,I am having trouble with a transfer.,Mobile Banking,Mobile Deposit,SES-992883,Authentication error displayed,Desktop Browser,Transfers
ADF-2026-00110,2026-03-12 16:17:09,C10054,I keep having trouble signing in.,Online Banking,,SES-252075,No technical error captured,iPhone,Authentication
ADF-2025-00111,2025-09-22 09:09:33,C10199,I had a problem using card controls.,Mobile Banking,Transfers,SES-118414,No technical error captured,iPhone,Card Controls
ADF-2025-00112,2025-02-16 14:53:44,C10091,I had a problem using card controls.,Mobile Banking,Login,,Submission included diagnostic context,Android Tablet,Card Controls
ADF-2025-00113,2025-04-22 13:28:41,C10365,I would like a change to this digital banking feature.,Online Banking,General,SES-925433,Submission included diagnostic context,iPad,Feature Request
ADF-2025-00114,2025-04-18 07:49:47,C10132,Mobile deposit is not working the way I expect.,Mobile Banking,Settings,SES-136482,Timeout observed,Android Phone,Mobile Deposit
ADF-2025-00115,2025-04-27 17:46:46,C10169,I had a problem using card controls.,Online Banking,Transfers,SES-174963,Submission included diagnostic context,Android Phone,Card Controls
ADF-2025-00116,2025-05-29 22:16:22,C10486,The digital banking experience is slow or unstable.,Mobile Banking,Accounts Overview,SES-382848,,Android Phone,Application Performance
ADF-2025-00117,2025-02-14 21:23:42,C10170,Feedback about my digital banking experience.,Online Banking,Transfers,,Slow response reported,iPad,General Feedback
ADF-2025-00118,2025-01-27 05:42:22,C10138,Mobile deposit is not working the way I expect.,Online Banking,Transfers,,,iPhone,Mobile Deposit
ADF-2025-00119,2025-12-12 10:10:12,C10071,It is difficult to find what I need.,Online Banking,Bill Pay,,,Desktop Browser,Navigation / Usability
ADF-2026-00120,2026-03-05 17:07:30,C10381,It is difficult to find what I need.,Online Banking,Accounts Overview,SES-247470,,Android Phone,Navigation / Usability
ADF-2026-00121,2026-03-05 07:13:39,C10593,I would like a change to this digital banking feature.,Online Banking,Settings,SES-553049,No technical error captured,,Feature Request
ADF-2025-00122,2025-07-29 07:13:26,C10395,I keep having trouble signing in.,Mobile Banking,,SES-674403,No technical error captured,Desktop Browser,Authentication
ADF-2025-00123,2025-09-04 01:16:44,C10370,Bill pay is not working correctly for me.,Online Banking,Bill Pay,,Timeout observed,Desktop Browser,Bill Pay
ADF-2026-00124,2026-05-31 06:26:14,C10591,It is difficult to find what I need.,Mobile Banking,General,,,iPad,Navigation / Usability
ADF-2025-00125,2025-06-02 16:46:32,C10336,Bill pay is not working correctly for me.,Mobile Banking,Mobile Deposit,SES-148000,,iPhone,Bill Pay
ADF-2025-00126,2025-11-15 04:50:57,C10564,It is difficult to find what I need.,Online Banking,Login,SES-101512,No technical error captured,Desktop Browser,Navigation / Usability
ADF-2026-00127,2026-01-13 02:24:07,C10140,It is difficult to find what I need.,Mobile Banking,Mobile Deposit,,Authentication error displayed,iPad,Navigation / Usability
ADF-2026-00128,2026-05-07 04:46:50,C10246,Feedback about my digital banking experience.,Online Banking,Card Management,SES-754935,,iPhone,General Feedback
ADF-2025-00129,2025-09-23 04:24:30,C10262,I am having trouble with a transfer.,Online Banking,Bill Pay,SES-190995,,Android Tablet,Transfers
ADF-2025-00130,2025-01-28 23:33:02,C10140,Feedback about my digital banking experience.,Mobile Banking,General,SES-912105,,Desktop Browser,General Feedback
ADF-2026-00131,2026-08-06 20:38:15,C10513,Bill pay is not working correctly for me.,Online Banking,,SES-438200,Timeout observed,Desktop Browser,Bill Pay
ADF-2026-00132,2026-05-06 20:16:25,C10001,I am having trouble with a transfer.,Mobile Banking,Card Management,SES-285840,Slow response reported,Android Tablet,Transfers
ADF-2026-00133,2026-08-25 05:10:31,C10108,I am having trouble with a transfer.,Mobile Banking,Accounts Overview,,Timeout observed,iPad,Transfers
ADF-2025-00134,2025-09-12 11:53:50,C10423,I keep having trouble signing in.,Online Banking,,SES-743250,Timeout observed,Desktop Browser,Authentication
ADF-2026-00135,2026-02-15 14:03:45,C10024,I had a problem using card controls.,Online Banking,Card Management,SES-831131,Timeout observed,,Card Controls
ADF-2025-00136,2025-07-14 17:14:45,C10270,It is difficult to find what I need.,Mobile Banking,Mobile Deposit,SES-121386,,iPad,Navigation / Usability
ADF-2025-00137,2025-10-14 05:57:38,C10092,Bill pay is not working correctly for me.,Mobile Banking,General,SES-824838,,iPad,Bill Pay
ADF-2025-00138,2025-05-11 03:18:33,C10436,It is difficult to find what I need.,Online Banking,Accounts Overview,SES-999839,No technical error captured,Desktop Browser,Navigation / Usability
ADF-2026-00139,2026-07-19 14:47:22,C10390,I had a problem using card controls.,Mobile Banking,Accounts Overview,,,Android Phone,Card Controls
ADF-2025-00140,2025-05-23 12:53:34,C10525,The digital banking experience is slow or unstable.,Online Banking,Card Management,SES-791608,Slow response reported,iPhone,Application Performance
ADF-2026-00141,2026-02-08 23:41:33,C10263,I am having trouble with a transfer.,Online Banking,Transfers,SES-391734,,iPad,Transfers
ADF-2025-00142,2025-01-13 02:08:11,C10297,It is difficult to find what I need.,Mobile Banking,Card Management,SES-761841,,Android Phone,Navigation / Usability
ADF-2025-00143,2025-12-06 16:50:41,C10320,I keep having trouble signing in.,Online Banking,,SES-500659,Timeout observed,Android Phone,Authentication
ADF-2025-00144,2025-08-31 21:28:50,C10288,Bill pay is not working correctly for me.,Online Banking,Card Management,SES-970351,Submission included diagnostic context,,Bill Pay
ADF-2025-00145,2025-09-20 15:32:45,C10055,I would like a change to this digital banking feature.,Mobile Banking,Mobile Deposit,SES-458713,,iPad,Feature Request
ADF-2026-00146,2026-08-30 20:58:14,C10593,The digital banking experience is slow or unstable.,Mobile Banking,,SES-296625,No technical error captured,Android Tablet,Application Performance
ADF-2026-00147,2026-03-19 21:05:32,C10080,I had a problem using card controls.,Online Banking,Mobile Deposit,SES-274332,Slow response reported,Android Tablet,Card Controls
ADF-2026-00148,2026-04-28 21:41:03,C10542,Feedback about my digital banking experience.,Online Banking,Login,,Submission included diagnostic context,Desktop Browser,General Feedback
ADF-2025-00149,2025-07-22 21:59:48,C10153,It is difficult to find what I need.,Mobile Banking,Bill Pay,,Submission included diagnostic context,iPhone,Navigation / Usability
ADF-2026-00150,2026-03-20 01:03:24,C10342,Feedback about my digital banking experience.,Online Banking,Accounts Overview,,Submission included diagnostic context,iPhone,General Feedback
ADF-2026-00151,2026-06-27 06:00:48,C10469,The digital banking experience is slow or unstable.,Mobile Banking,Card Management,SES-638810,Timeout observed,Android Phone,Application Performance
ADF-2025-00152,2025-08-08 05:34:04,C10061,I would like a change to this digital banking feature.,Mobile Banking,Card Management,,No technical error captured,,Feature Request
ADF-2025-00153,2025-02-27 15:23:45,C10530,It is difficult to find what I need.,Mobile Banking,Accounts Overview,SES-207523,No technical error captured,iPhone,Navigation / Usability
ADF-2026-00154,2026-03-21 03:16:15,C10347,Mobile deposit is not working the way I expect.,Mobile Banking,General,,,,Mobile Deposit
ADF-2026-00155,2026-02-22 15:41:13,C10198,I keep having trouble signing in.,Mobile Banking,Login,SES-710744,Submission included diagnostic context,Desktop Browser,Authentication
ADF-2025-00156,2025-01-16 14:26:26,C10121,Bill pay is not working correctly for me.,Mobile Banking,Transfers,,Slow response reported,Android Phone,Bill Pay
ADF-2025-00157,2025-03-01 08:24:37,C10199,Bill pay is not working correctly for me.,Online Banking,Mobile Deposit,SES-183385,,,Bill Pay
ADF-2025-00158,2025-08-10 12:58:26,C10458,I keep having trouble signing in.,Online Banking,,,Submission included diagnostic context,Desktop Browser,Authentication
ADF-2026-00159,2026-04-27 05:51:48,C10453,Feedback about my digital banking experience.,Online Banking,General,,Authentication error displayed,iPad,General Feedback
ADF-2025-00160,2025-04-22 15:35:50,C10391,I would like a change to this digital banking feature.,Online Banking,Card Management,SES-798856,No technical error captured,iPad,Feature Request
ADF-2025-00161,2025-10-28 06:52:51,C10021,I had a problem using card controls.,Online Banking,Settings,,Slow response reported,Android Phone,Card Controls
ADF-2025-00162,2025-04-13 16:21:16,C10097,I had a problem using card controls.,Online Banking,Card Management,,Submission included diagnostic context,iPhone,Card Controls
ADF-2026-00163,2026-01-02 02:43:15,C10253,It is difficult to find what I need.,Mobile Banking,,SES-759073,,Desktop Browser,Navigation / Usability
ADF-2026-00164,2026-07-05 19:46:13,C10585,Bill pay is not working correctly for me.,Mobile Banking,Mobile Deposit,SES-688517,,Android Phone,Bill Pay
ADF-2025-00165,2025-07-25 18:10:50,C10119,Mobile deposit is not working the way I expect.,Online Banking,,SES-146968,,iPhone,Mobile Deposit
ADF-2025-00166,2025-11-17 15:15:16,C10586,I would like a change to this digital banking feature.,Online Banking,Login,,,Android Phone,Feature Request
ADF-2026-00167,2026-04-22 11:24:43,C10567,Mobile deposit is not working the way I expect.,Online Banking,Card Management,SES-658752,Authentication error displayed,Android Tablet,Mobile Deposit
ADF-2025-00168,2025-03-28 21:00:30,C10172,It is difficult to find what I need.,Mobile Banking,Card Management,SES-541841,Authentication error displayed,Desktop Browser,Navigation / Usability
ADF-2025-00169,2025-09-23 08:09:37,C10062,I had a problem using card controls.,Mobile Banking,Card Management,SES-819179,No technical error captured,,Card Controls
ADF-2025-00170,2025-11-08 13:27:49,C10406,Feedback about my digital banking experience.,Online Banking,,,,Desktop Browser,General Feedback
ADF-2026-00171,2026-06-23 23:55:04,C10238,Bill pay is not working correctly for me.,Online Banking,,SES-544266,Authentication error displayed,Android Tablet,Bill Pay
ADF-2026-00172,2026-08-06 18:52:17,C10540,Feedback about my digital banking experience.,Mobile Banking,Bill Pay,SES-975911,Authentication error displayed,,General Feedback
ADF-2025-00173,2025-04-13 07:20:20,C10460,The digital banking experience is slow or unstable.,Mobile Banking,Mobile Deposit,SES-912100,,Android Tablet,Application Performance
ADF-2025-00174,2025-10-01 06:35:02,C10046,Bill pay is not working correctly for me.,Mobile Banking,General,SES-421689,No technical error captured,Android Tablet,Bill Pay
ADF-2025-00175,2025-04-29 22:19:07,C10279,Feedback about my digital banking experience.,Online Banking,Settings,,Timeout observed,iPhone,General Feedback
ADF-2025-00176,2025-06-09 06:51:18,C10560,I had a problem using card controls.,Mobile Banking,Card Management,,Timeout observed,iPhone,Card Controls
ADF-2025-00177,2025-10-27 02:13:42,C10241,Mobile deposit is not working the way I expect.,Mobile Banking,Bill Pay,,,Android Tablet,Mobile Deposit
ADF-2026-00178,2026-07-14 04:30:11,C10323,I had a problem using card controls.,Mobile Banking,Bill Pay,SES-296035,No technical error captured,iPhone,Card Controls
ADF-2026-00179,2026-08-16 01:42:27,C10487,Bill pay is not working correctly for me.,Online Banking,General,SES-476917,,,Bill Pay
ADF-2025-00180,2025-09-12 16:53:27,C10517,Bill pay is not working correctly for me.,Online Banking,Transfers,,No technical error captured,Android Phone,Bill Pay
ADF-2026-00181,2026-08-20 12:49:33,C10117,I keep having trouble signing in.,Mobile Banking,Login,,,,Authentication
ADF-2026-00182,2026-07-09 07:32:36,C10474,I had a problem using card controls.,Online Banking,,SES-222053,,Android Phone,Card Controls
ADF-2025-00183,2025-04-16 13:55:53,C10270,I keep having trouble signing in.,Online Banking,Accounts Overview,,,Android Tablet,Authentication
ADF-2025-00184,2025-12-21 16:35:37,C10292,Mobile deposit is not working the way I expect.,Mobile Banking,Card Management,SES-842626,No technical error captured,iPad,Mobile Deposit
ADF-2025-00185,2025-01-12 03:14:39,C10424,I keep having trouble signing in.,Mobile Banking,,SES-401903,No technical error captured,Android Phone,Authentication
ADF-2025-00186,2025-06-28 23:01:31,C10017,I would like a change to this digital banking feature.,Online Banking,Mobile Deposit,SES-766180,Submission included diagnostic context,iPad,Feature Request
